NightLoc,DayLoc,People
0,35,280
0,0,8977
1,42,540
1,1,4787
2,28,88
2,42,200
2,2,18783
3,32,73
3,42,388
3,3,4589
4,11,400
4,42,365
4,4,10920
5,33,25
5,42,8
5,5,839
6,33,115
6,42,43
6,6,7253
7,7,605
8,28,165
8,37,63
8,42,405
8,8,6618
9,28,20
9,42,23
9,9,1017
10,11,50
10,32,35
10,37,23
10,42,558
10,10,5360
11,32,100
11,42,2273
11,11,49401
12,28,45
12,42,88
12,12,2469
13,32,90
13,33,53
13,42,360
13,13,9098
14,33,45
14,14,11866
15,35,603
15,15,7289
16,35,250
16,16,28910
17,11,23
17,37,35
17,42,353
17,17,3104
18,28,13
18,42,38
18,18,1027
19,19,755
20,49,318
20,52,875
20,56,638
20,20,46853
21,21,280
22,11,43
22,37,35
22,42,605
22,22,4125
23,23,389
24,33,315
24,42,188
24,24,17767
25,16,73
25,35,60
25,25,4536
26,26,9552
27,42,30
27,27,728
28,33,105
28,37,98
28,42,1038
28,28,28067
29,28,8
29,42,73
29,29,1194
30,28,160
30,42,243
30,30,5301
31,28,60
31,42,65
31,31,2140
32,11,135
32,37,103
32,42,3313
32,32,32527
33,42,443
33,33,40105
34,28,58
34,42,60
34,34,1081
35,16,40
35,35,29085
36,33,20
36,42,83
36,36,2047
37,11,155
37,28,78
37,32,45
37,33,35
37,42,4460
37,37,28575
38,35,75
38,38,5217
39,16,10
39,35,20
39,39,1493
40,33,43
40,42,118
40,40,2666
41,28,38
41,42,100
41,41,7006
42,11,2388
42,20,43
42,28,525
42,32,1355
42,33,303
42,37,1955
42,42,394701
43,33,88
43,42,28
43,43,2770
44,28,118
44,42,148
44,44,12500
45,42,130
45,45,17130
46,33,63
46,42,198
46,46,5167
47,42,178
47,47,1689
48,42,85
48,48,5185
49,20,833
49,52,428
49,56,75
49,49,20516
50,33,60
50,42,90
50,50,1812
51,20,178
51,56,123
51,51,5240
52,20,1540
52,49,303
52,56,165
52,52,20163
53,33,218
53,42,35
53,53,8434
54,35,543
54,54,6454
55,42,118
55,55,1545
56,20,1580
56,49,88
56,52,108
56,56,29538
57,42,120
57,57,11417
58,11,20
58,28,48
58,37,45
58,42,433
58,58,5446
59,42,78
59,59,12586
60,28,190
60,42,173
60,60,3152
61,28,105
61,37,50
61,42,128
61,61,2822
62,28,48
62,33,20
62,42,143
62,62,3309
63,42,483
63,63,13459
64,33,193
64,42,98
64,64,11924
65,42,150
65,65,1845
66,33,115
66,42,38
66,66,2755
