NightLoc,DayLoc,People
07002,07032,280
07002,07002,8977
07001,07040,540
07001,07001,4787
07003,07027,88
07003,07040,200
07003,07003,18783
07004,07031,73
07004,07040,388
07004,07004,4589
07005,07011,400
07005,07040,365
07005,07005,10920
07901,07033,25
07901,07040,8
07901,07901,839
07006,07033,115
07006,07040,43
07006,07006,7253
07007,07007,605
07008,07027,165
07008,07036,63
07008,07040,405
07008,07008,6618
07009,07027,20
07009,07040,23
07009,07009,1017
07010,07011,50
07010,07031,35
07010,07036,23
07010,07040,558
07010,07010,5360
07011,07031,100
07011,07040,2273
07011,07011,49401
07012,07027,45
07012,07040,88
07012,07012,2469
07013,07031,90
07013,07033,53
07013,07040,360
07013,07013,9098
07014,07033,45
07014,07014,11866
07064,07032,603
07064,07064,7289
07015,07032,250
07015,07015,28910
07016,07011,23
07016,07036,35
07016,07040,353
07016,07016,3104
07017,07027,13
07017,07040,38
07017,07017,1027
07018,07018,755
07026,07046,318
07026,07048,875
07026,07054,638
07026,07026,46853
07019,07019,280
07020,07011,43
07020,07036,35
07020,07040,605
07020,07020,4125
07021,07021,389
07022,07033,315
07022,07040,188
07022,07022,17767
07023,07015,73
07023,07032,60
07023,07023,4536
07024,07024,9552
07025,07040,30
07025,07025,728
07027,07033,105
07027,07036,98
07027,07040,1038
07027,07027,28067
07028,07027,8
07028,07040,73
07028,07028,1194
07029,07027,160
07029,07040,243
07029,07029,5301
07030,07027,60
07030,07040,65
07030,07030,2140
07031,07011,135
07031,07036,103
07031,07040,3313
07031,07031,32527
07033,07040,443
07033,07033,40105
07034,07027,58
07034,07040,60
07034,07034,1081
07032,07015,40
07032,07032,29085
07035,07033,20
07035,07040,83
07035,07035,2047
07036,07011,155
07036,07027,78
07036,07031,45
07036,07033,35
07036,07040,4460
07036,07036,28575
07037,07032,75
07037,07037,5217
07902,07015,10
07902,07032,20
07902,07902,1493
07038,07033,43
07038,07040,118
07038,07038,2666
07039,07027,38
07039,07040,100
07039,07039,7006
07040,07011,2388
07040,07026,43
07040,07027,525
07040,07031,1355
07040,07033,303
07040,07036,1955
07040,07040,394701
07041,07033,88
07041,07040,28
07041,07041,2770
07044,07027,118
07044,07040,148
07044,07044,12500
07042,07040,130
07042,07042,17130
07043,07033,63
07043,07040,198
07043,07043,5167
07045,07040,178
07045,07045,1689
07059,07040,85
07059,07059,5185
07046,07026,833
07046,07048,428
07046,07054,75
07046,07046,20516
07049,07033,60
07049,07040,90
07049,07049,1812
07050,07026,178
07050,07054,123
07050,07050,5240
07048,07026,1540
07048,07046,303
07048,07054,165
07048,07048,20163
07051,07033,218
07051,07040,35
07051,07051,8434
07052,07032,543
07052,07052,6454
07053,07040,118
07053,07053,1545
07054,07026,1580
07054,07046,88
07054,07048,108
07054,07054,29538
07055,07040,120
07055,07055,11417
07056,07011,20
07056,07027,48
07056,07036,45
07056,07040,433
07056,07056,5446
07057,07040,78
07057,07057,12586
07058,07027,190
07058,07040,173
07058,07058,3152
07047,07027,105
07047,07036,50
07047,07040,128
07047,07047,2822
07060,07027,48
07060,07033,20
07060,07040,143
07060,07060,3309
07061,07040,483
07061,07061,13459
07062,07033,193
07062,07040,98
07062,07062,11924
07063,07040,150
07063,07063,1845
07065,07033,115
07065,07040,38
07065,07065,2755
