NightLoc,DayLoc,People
07002,07032,560
07002,07002,8697
07001,07040,1080
07001,07001,4247
07003,07027,175
07003,07040,400
07003,07003,18496
07004,07031,145
07004,07040,775
07004,07004,4130
07005,07011,800
07005,07040,730
07005,07005,10155
07901,07033,50
07901,07040,15
07901,07901,807
07006,07033,230
07006,07040,85
07006,07006,7096
07007,07007,605
07008,07027,330
07008,07036,125
07008,07040,810
07008,07008,5986
07009,07027,40
07009,07040,45
07009,07009,975
07010,07011,100
07010,07031,70
07010,07036,45
07010,07040,1115
07010,07010,4696
07011,07031,200
07011,07040,4545
07011,07011,47029
07012,07027,90
07012,07040,175
07012,07012,2337
07013,07031,180
07013,07033,105
07013,07040,720
07013,07013,8596
07014,07033,90
07014,07014,11821
07064,07032,1205
07064,07064,6687
07015,07032,500
07015,07015,28660
07016,07011,45
07016,07036,70
07016,07040,705
07016,07016,2695
07017,07027,25
07017,07040,75
07017,07017,978
07018,07018,755
07026,07046,635
07026,07048,1750
07026,07054,1275
07026,07026,45024
07019,07019,280
07020,07011,85
07020,07036,70
07020,07040,1210
07020,07020,3443
07021,07021,389
07022,07033,630
07022,07040,375
07022,07022,17265
07023,07015,145
07023,07032,120
07023,07023,4404
07024,07024,9552
07025,07040,60
07025,07025,698
07027,07033,210
07027,07036,195
07027,07040,2075
07027,07027,26828
07028,07027,15
07028,07040,145
07028,07028,1115
07029,07027,320
07029,07040,485
07029,07029,4899
07030,07027,120
07030,07040,130
07030,07030,2015
07031,07011,270
07031,07036,205
07031,07040,6625
07031,07031,28978
07033,07040,885
07033,07033,39663
07034,07027,115
07034,07040,120
07034,07034,964
07032,07015,80
07032,07032,29045
07035,07033,40
07035,07040,165
07035,07035,1945
07036,07011,310
07036,07027,155
07036,07031,90
07036,07033,70
07036,07040,8920
07036,07036,23803
07037,07032,150
07037,07037,5142
07902,07015,20
07902,07032,40
07902,07902,1463
07038,07033,85
07038,07040,235
07038,07038,2507
07039,07027,75
07039,07040,200
07039,07039,6869
07040,07011,4775
07040,07026,85
07040,07027,1050
07040,07031,2710
07040,07033,605
07040,07036,3910
07040,07040,388135
07041,07033,175
07041,07040,55
07041,07041,2656
07044,07027,235
07044,07040,295
07044,07044,12236
07042,07040,260
07042,07042,17000
07043,07033,125
07043,07040,395
07043,07043,4908
07045,07040,355
07045,07045,1512
07059,07040,170
07059,07059,5100
07046,07026,1665
07046,07048,855
07046,07054,150
07046,07046,19182
07049,07033,120
07049,07040,180
07049,07049,1662
07050,07026,355
07050,07054,245
07050,07050,4941
07048,07026,3080
07048,07046,605
07048,07054,330
07048,07048,18156
07051,07033,435
07051,07040,70
07051,07051,8182
07052,07032,1085
07052,07052,5912
07053,07040,235
07053,07053,1428
07054,07026,3160
07054,07046,175
07054,07048,215
07054,07054,27764
07055,07040,240
07055,07055,11297
07056,07011,40
07056,07027,95
07056,07036,90
07056,07040,865
07056,07056,4902
07057,07040,155
07057,07057,12509
07058,07027,380
07058,07040,345
07058,07058,2790
07047,07027,210
07047,07036,100
07047,07040,255
07047,07047,2540
07060,07027,95
07060,07033,40
07060,07040,285
07060,07060,3100
07061,07040,965
07061,07061,12977
07062,07033,385
07062,07040,195
07062,07062,11635
07063,07040,300
07063,07063,1695
07065,07033,230
07065,07040,75
07065,07065,2603
