1  2     0 0	
2  2     0 0	
3  5	 0 0
4  6	 0 0
5  6	 0 0
6  6	 0 0
7  6	 0 0
8  11	 0 0
9  13	 0 0
10 16	 0 0
11 22	 1 0
12 30	 1 0
13 28	 1 0
14 28	 1 0
15 73	 1 0
16 92	 1 0
17 112   1 0
18 169   2 0
19 203   2 0
20 246   4 0	
21 331   4 0	
22 400   10 18  
23 478   10 19  
24 562   13 28  
25 660   17 39  
26 755   22 67  
27 862   26 80  
28 958   29 82  
29 1000  37 100 
30 1069  42 111 
31 1131  46 170 
32 1204  58 239
33 1257  69 375 
34 1271  71 422 
35 1293  75 461 
36 1320  81 531 
37 1369	 84 537
38 1412	 89 616 
