NightLoc,DayLoc,People
35001,35006,14
35001,35009,66
35001,35016,113
35001,35001,5393
35002,35004,6
35002,35006,5
35002,38017,5
35002,35011,150
35002,35012,167
35002,35016,390
35002,35019,615
35002,35022,281
35002,35026,179
35002,35002,29821
35020,35012,39
35020,35016,18
35020,35020,7447
35003,35017,320
35003,35003,12141
35004,35014,3
35004,38026,6
35004,35016,99
35004,35019,6
35004,38023,5
35004,35024,608
35004,35004,62261
35005,35016,41
35005,35005,1028
35006,35002,17
35006,35009,41
35006,35011,17
35006,35012,5
35006,35014,11
35006,35016,1797
35006,35017,5
35006,35019,15
35006,38038,3
35006,35022,21
35006,35026,165
35006,35006,36041
35007,35007,758
35008,35002,9
35008,35004,3
35008,35006,146
35008,35009,6
35008,35011,3
35008,35014,3
35008,35016,290
35008,35019,2
35008,35022,2
35008,35026,44
35008,35008,6947
35009,35006,78
35009,35011,18
35009,35012,5
35009,35016,597
35009,38023,9
35009,35022,6
35009,35026,47
35009,35009,23482
35010,35004,143
35010,35024,30
35010,35010,4950
35011,38001,6
35011,35002,317
35011,35004,5
35011,35009,3
35011,35012,111
35011,35016,498
35011,35017,5
35011,35019,488
35011,38023,5
35011,35022,164
35011,35026,264
35011,35011,29455
35012,35016,92
35012,35019,155
35012,35012,19825
35013,35006,26
35013,35016,288
35013,35026,21
35013,35013,7361
35014,35017,263
35014,35014,26317
35015,35015,21093
35016,38001,30
35016,35002,396
35016,38006,5
35016,35004,23
35016,35006,420
35016,35009,120
35016,38017,9
35016,35011,240
35016,38024,3
35016,35012,185
35016,35014,6
35016,35017,35
35016,38031,9
35016,35019,630
35016,38023,65
35016,38038,95
35016,35022,330
35016,35024,9
35016,35026,2298
35016,35016,375017
35017,35004,5
35017,35011,9
35017,35014,291
35017,35016,38
35017,38038,11
35017,35017,40399
35018,35004,501
35018,35016,6
35018,35024,197
35018,35018,18112
35019,35002,105
35019,35006,26
35019,35011,32
35019,35012,605
35019,35014,3
35019,35016,306
35019,35017,5
35019,35022,185
35019,35026,78
35019,35019,52098
35021,35002,20
35021,35006,35
35021,35009,5
35021,35011,26
35021,35012,11
35021,35014,11
35021,35016,920
35021,35019,36
35021,35022,15
35021,35026,144
35021,35021,17040
35022,35002,354
35022,35006,5
35022,35011,96
35022,35012,492
35022,35014,5
35022,35016,552
35022,38028,3
35022,35017,5
35022,35019,2151
35022,35026,381
35022,35022,69284
35023,35006,81
35023,35009,176
35023,35011,5
35023,35016,395
35023,35017,5
35023,35019,9
35023,35022,3
35023,35026,29
35023,35023,13147
35024,35004,887
35024,35016,6
35024,38023,8
35024,35024,21441
35025,35016,30
35025,35025,1879
35026,35002,333
35026,38006,14
35026,35004,27
35026,35006,51
35026,35009,5
35026,35011,135
35026,35012,105
35026,35016,2840
35026,35019,491
35026,38023,6
35026,38038,5
35026,35022,281
35026,35026,98354
35027,38001,3
35027,35002,9
35027,35006,20
35027,35011,24
35027,35012,3
35027,35016,476
35027,35019,6
35027,35022,12
35027,35026,48
35027,35027,11918
35028,35004,326
35028,35024,63
35028,35028,19781
35029,35004,177
35029,35016,27
35029,35024,41
35029,35029,6034
35030,35017,116
35030,35030,15125
35032,35016,99
35032,35032,3650
35031,38001,3
35031,35002,5
35031,35011,12
35031,35012,14
35031,35016,195
35031,35019,24
35031,38023,5
35031,35022,17
35031,35026,215
35031,35031,8850
35033,35016,269
35033,35026,29
35033,35033,7258
35034,35004,117
35034,35024,120
35034,35034,16334
38001,38006,1010
38001,38017,105
38001,35016,26
38001,38023,14
38001,38038,80
38001,38043,21
38001,38001,46613
38002,38002,1096
38003,38003,2017
38004,38006,15
38004,38011,36
38004,38017,23
38004,38023,36
38004,38038,122
38004,38004,5319
38005,38001,36
38005,38006,78
38005,38017,89
38005,38038,78
38005,38005,7707
38006,38001,1640
38006,38017,231
38006,38023,75
38006,38038,201
38006,38006,79069
38007,38007,1876
38008,38024,24
38008,38038,17
38008,38008,7163
38009,38024,35
38009,38038,15
38009,38009,5640
38010,38022,15
38010,38038,14
38010,38010,4749
38011,38001,45
38011,38006,119
38011,38017,51
38011,38026,30
38011,35016,17
38011,38031,15
38011,38023,423
38011,38038,1175
38011,38043,11
38011,38011,26099
38012,38017,17
38012,38023,23
38012,38038,68
38012,38012,2678
38013,38013,4093
38014,38024,14
38014,38038,6
38014,38014,1702
38015,38001,18
38015,38022,59
38015,38028,24
38015,38038,30
38015,38015,4740
38016,38016,1667
38017,38001,528
38017,38006,888
38017,38026,11
38017,35016,18
38017,38031,17
38017,38023,108
38017,38038,146
38017,38017,48430
38018,38022,38
38018,38026,21
38018,38028,35
38018,38031,30
38018,38023,33
38018,38038,41
38018,38018,5322
38019,38001,335
38019,38006,150
38019,38017,12
38019,35016,5
38019,38023,30
38019,38038,47
38019,38019,20789
38020,38001,41
38020,38006,32
38020,38011,104
38020,38017,38
38020,38023,47
38020,38038,431
38020,38043,9
38020,38020,19488
38021,38021,1832
38022,38001,20
38022,38006,29
38022,35004,11
38022,38026,89
38022,35016,11
38022,38028,96
38022,38031,50
38022,38023,90
38022,38038,110
38022,38043,12
38022,38022,22736
38024,38017,3
38024,35016,3
38024,38023,3
38024,38038,23
38024,38024,20435
38025,38026,18
38025,38028,29
38025,38023,99
38025,38038,117
38025,38043,42
38025,38025,8756
38026,38001,57
38026,38006,24
38026,35004,3
38026,38011,15
38026,38017,5
38026,38022,29
38026,35016,9
38026,38028,693
38026,38031,180
38026,35019,3
38026,38023,278
38026,38038,278
38026,38043,15
38026,38026,40440
38027,38024,153
38027,38038,14
38027,38027,7455
38901,38901,1870
38028,38006,9
38028,38017,9
38028,38022,33
38028,38026,245
38028,35017,24
38028,38031,93
38028,35019,14
38028,38023,57
38028,38038,137
38028,38043,41
38028,38028,29806
38029,38029,2110
38030,38030,2506
38031,38001,29
38031,38006,30
38031,38011,2
38031,38017,14
38031,38022,59
38031,38026,447
38031,35016,3
38031,38028,872
38031,38023,159
38031,38038,174
38031,38043,26
38031,38031,34587
38032,38001,47
38032,38006,33
38032,38011,35
38032,38017,38
38032,38022,14
38032,38026,21
38032,38028,3
38032,38023,471
38032,38038,1025
38032,38032,15683
38033,38033,4141
38023,38001,84
38023,38006,195
38023,35004,14
38023,38011,90
38023,38017,179
38023,38022,51
38023,35014,3
38023,38026,119
38023,35016,14
38023,38028,110
38023,35017,5
38023,38031,81
38023,38038,5181
38023,38043,198
38023,35026,11
38023,38023,151168
38034,38022,15
38034,38026,17
38034,38028,35
38034,38031,11
38034,38023,15
38034,38038,48
38034,38034,4687
38035,38001,410
38035,38006,426
38035,38017,92
38035,38038,95
38035,38035,19863
38036,38006,6
38036,38026,2
38036,38023,6
38036,38038,32
38036,38036,9047
38037,38024,29
38037,35016,8
38037,38023,24
38037,38038,21
38037,38037,15634
38038,38001,108
38038,35002,3
38038,38006,264
38038,35004,12
38038,38011,162
38038,38017,264
38038,38022,12
38038,38026,128
38038,35016,54
38038,38028,92
38038,35017,36
38038,38031,20
38038,38023,3140
38038,38043,180
38038,35026,3
38038,38038,202834
38039,38011,5
38039,38017,39
38039,38022,23
38039,38026,96
38039,35016,9
38039,38028,122
38039,38031,33
38039,38023,90
38039,38038,201
38039,38043,42
38039,38039,14019
38040,38001,72
38040,38006,39
38040,38040,11000
38041,38001,2
38041,38006,3
38041,38017,8
38041,38022,3
38041,38026,18
38041,38028,38
38041,38031,12
38041,38023,171
38041,38038,195
38041,38043,87
38041,38041,8397
38042,38001,14
38042,38022,15
38042,38038,27
38042,38042,4637
38043,38001,11
38043,38006,3
38043,38011,9
38043,38017,44
38043,38022,14
38043,38026,63
38043,38028,75
38043,38031,12
38043,38023,554
38043,38038,494
38043,38043,22855
38044,38001,23
38044,38006,35
38044,38022,11
38044,38044,2694
38045,38024,62
38045,38038,17
38045,38045,4496
38046,38006,5
38046,38011,2
38046,38017,3
38046,38026,14
38046,38028,2
38046,38023,347
38046,38038,270
38046,38043,21
38046,38046,10630
38047,38024,53
38047,38047,2479
38049,38049,4564
38050,38050,2901
38048,38048,5005
38051,38026,45
38051,38028,57
38051,38023,66
38051,38038,89
38051,38043,26
38051,38051,8902
38052,38001,8
38052,38006,38
38052,38052,1621
38053,38024,18
38053,38053,4825
