 #time susceptible infected recover
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095425           2           0
           8     1095424           4           0
           9     1095421          10           0
          10     1095420          12           0
          11     1095420          12           0
          12     1095418          16           0
          13     1095417          18           0
          14     1095415          22           0
          15     1095413          26           0
          16     1095406          40           0
          17     1095401          50           0
          18     1095396          60           0
          19     1095389          74           0
          20     1095381          90           0
          21     1095360         132           0
          22     1095348         156           0
          23     1095308         236           0
          24     1095280         292           0
          25     1095239         372           1
          26     1095196         458           1
          27     1095123         604           1
          28     1095034         782           1
          29     1094927         996           1
          30     1094774        1302           1
          31     1094577        1696           1
          32     1094329        2190           2
          33     1094017        2812           3
          34     1093593        3654           6
          35     1093065        4710           6
          36     1092404        6030           7
          37     1091544        7746           9
          38     1090357       10118          10
          39     1088854       13120          12
          40     1086862       17094          17
          41     1084432       21944          22
          42     1081328       28144          26
          43     1077377       36032          33
          44     1072422       45926          41
          45     1065986       58770          55
          46     1057723       75266          70
          47     1047148       96354         101
          48     1033991      122616         127
          49     1017753      155018         164
          50      997883      194678         204
          51      974339      241636         269
          52      945790      298606         333
          53      912665      364648         437
          54      875013      439692         567
          55      833821      521736         737
          56      790156      608624         958
          57      746207      695944        1247
          58      704615      778362        1630
          59      665881      854898        2096
          60      631791      921844        2713
          61      601982      979990        3449
          62      575387     1031150        4464
          63      550566     1078116        5802
          64      526632     1122382        7603
          65      503150     1164956        9798
          66      475407     1215090       12474
          67      450187     1258482       15998
          68      426467     1297006       20456
          69      404126     1330226       26187
          70      383312     1357144       33542
          71      363852     1377396       42876
          72      345660     1389934       54799
          73      328780     1394120       69586
          74      313366     1389060       87530
          75      299689     1373254      109110
          76      288029     1344448      135173
          77      277909     1302724      166155
          78      269222     1249578      201415
          79      261412     1186370      240829
          80      254264     1116156      283084
          81      247721     1041656      326877
          82      241819      967756      369729
          83      236041      899148      409811
          84      230440      837902      446035
          85      224704      785408      478018
          86      218693      740798      506334
          87      212434      702150      531917
          88      205674      666898      556303
          89      198358      633952      580092
          90      190845      597284      605939
          91      183206      560086      632177
          92      175277      526244      657027
          93      167302      496006      680121
          94      159439      468824      701575
          95      151455      444108      721917
          96      143493      422212      740827
          97      135649      402718      758418
          98      128251      385490      774430
          99      121720      369536      788938
         100      116364      355042      801541
         101      112238      341264      812556
         102      109439      328148      821913
         103      107595      315196      830233
         104      106517      302512      837653
         105      105943      289994      844486
         106      105661      278106      850712
         107      105542      266704      856532
         108      105511      255448      862191
         109      105499      244220      867817
         110      105497      232358      873750
         111      105496      220230      879815
         112      105496      207044      886408
         113      105496      192908      893476
         114      105496      178092      900884
         115      105496      162908      908476
