 #time susceptible infected recover
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095425           2           0
           8     1095424           4           0
           9     1095421          10           0
          10     1095420          12           0
          11     1095420          12           0
          12     1095418          16           0
          13     1095417          18           0
          14     1095415          22           0
          15     1095413          26           0
          16     1095406          40           0
          17     1095401          50           0
          18     1095396          60           0
          19     1095389          74           0
          20     1095381          90           0
          21     1095360         132           0
          22     1095348         156           0
          23     1095308         236           0
          24     1095280         292           0
          25     1095238         376           0
          26     1095195         462           0
          27     1095122         606           1
          28     1095033         784           1
          29     1094928         994           1
          30     1094775        1300           1
          31     1094578        1694           1
          32     1094326        2198           1
          33     1094011        2826           2
          34     1093583        3676           5
          35     1093052        4736           6
          36     1092398        6044           6
          37     1091550        7736           8
          38     1090368       10098           9
          39     1088853       13126          10
          40     1086874       17082          11
          41     1084440       21934          19
          42     1081312       28184          22
          43     1077393       36012          27
          44     1072380       46024          34
          45     1065928       58910          43
          46     1057638       75462          57
          47     1047044       96618          73
          48     1033800      123044         104
          49     1017711      155174         128
          50      997661      195196         167
          51      974096      242248         206
          52      945705      298900         271
          53      912509      365164         335
          54      874964      440050         437
          55      833774      522170         567
          56      789965      609452         735
          57      746427      696044         977
          58      704657      779032        1253
          59      666058      855466        1635
          60      632098      922460        2098
          61      602556      980332        2704
          62      576196     1031612        3424
          63      551707     1078552        4443
          64      527889     1123468        5803
          65      504164     1167350        7587
          66      476487     1218430        9724
          67      450815     1264086       12568
          68      427255     1304300       16021
          69      405160     1339706       20413
          70      384051     1370332       26209
          71      364449     1394970       33492
          72      346234     1412640       42872
          73      328986     1422916       54982
          74      313374     1424886       69609
          75      299422     1416834       87587
          76      287217     1397610      109404
          77      276592     1367126      135271
          78      266976     1324588      166156
          79      258614     1270536      201544
          80      250838     1207426      240875
          81      243485     1137346      283268
          82      236717     1063918      326750
          83      230078      991992      369352
          84      223250      924936      409708
          85      216216      867072      445674
          86      209098      817608      477524
          87      201433      776542      505722
          88      193280      742502      530895
          89      184908      711040      554998
          90      176401      680094      578978
          91      167614      645918      604853
          92      159021      610044      631383
          93      150476      577490      656205
          94      142139      548516      679029
          95      134269      520772      700771
          96      127165      494256      721133
          97      121087      468548      740065
          98      116086      442844      757918
          99      112274      417506      774399
         100      109443      393762      789102
         101      107635      371118      802232
         102      106612      350420      813604
         103      106008      331520      823658
         104      105720      314078      832667
         105      105585      298204      840739
         106      105533      283180      848303
         107      105509      269138      855348
         108      105501      255736      862057
         109      105500      242432      868710
         110      105499      228482      875686
         111      105497      214480      882689
         112      105497      199498      890180
         113      105497      183534      898162
         114      105496      167310      906275
         115      105496      150220      914820
