 #time susceptible exposed infected recover
           1     1095425           1           0           0
           2     1095425           1           0           0
           3     1095425           1           0           0
           4     1095425           1           0           0
           5     1095425           1           0           0
           6     1095425           1           0           0
           7     1095425           0           1           0
           8     1095424           1           1           0
           9     1095421           4           1           0
          10     1095419           6           1           0
          11     1095416           9           1           0
          12     1095415          10           1           0
          13     1095415          10           1           0
          14     1095414          10           2           0
          15     1095412          10           4           0
          16     1095404          16           6           0
          17     1095401          17           8           0
          18     1095392          23          11           0
          19     1095382          33          11           0
          20     1095372          42          11           1
          21     1095359          53          13           1
          22     1095347          61          17           1
          23     1095318          85          22           1
          24     1095295         101          29           1
          25     1095270         117          38           1
          26     1095224         153          48           1
          27     1095179         189          56           2
          28     1095110         242          69           5
          29     1095038         298          84           6
          30     1094958         350         110           8
          31     1094828         453         135          10
          32     1094674         568         173          11
          33     1094475         731         208          12
          34     1094270         874         269          13
          35     1093980        1094         333          19
          36     1093617        1377         409          23
          37     1093182        1696         517          31
          38     1092603        2154         630          39
          39     1091875        2697         803          51
          40     1090974        3389        1003          60
          41     1089840        4267        1247          72
          42     1088489        5304        1537          96
          43     1086864        6532        1909         121
          44     1084808        8082        2396         140
          45     1082165       10088        2990         183
          46     1078837       12575        3793         221
          47     1074761       15656        4722         287
          48     1069618       19554        5902         352
          49     1063445       24215        7341         425
          50     1055891       29947        9058         530
          51     1046675       36772       11300         679
          52     1035602       44914       14062         848
          53     1022040       54793       17551        1042
          54     1005636       66538       21938        1314
          55      986086       80481       27224        1635
          56      963418       96344       33637        2027
          57      937266      114019       41606        2535
          58      907829      133238       51151        3208
          59      874787      153953       62683        4003
          60      838737      175086       76595        5008
          61      801322      194608       93203        6293
          62      762914      212054      112700        7758
          63      724930      225455      135497        9544
          64      689041      233387      161067       11931
          65      655924      235374      189217       14911
          66      622581      234443      219797       18605
          67      593138      227336      251784       23168
          68      566999      215565      283987       28875
          69      543779      200649      315355       35643
          70      522313      185011      343964       44138
          71      502472      170300      368359       54295
          72      483435      156323      389240       66428
          73      464631      143953      405433       81409
          74      445590      135192      415342       99302
          75      427173      128733      419093      120427
          76      409004      124434      417014      144974
          77      391632      121068      409977      172749
          78      375068      118158      398297      203903
          79      359075      114881      383085      238385
          80      343544      111221      365621      275040
          81      328922      107252      346317      312935
          82      315034      102691      326655      351046
          83      302201       97797      307335      388093
          84      290247       92717      289979      422483
          85      279480       87316      272978      455652
          86      269849       81217      257321      487039
          87      261315       74701      244688      514722
          88      253635       68096      234273      539422
          89      246916       61572      224924      562014
          90      240737       55480      216501      582708
          91      235124       49741      208277      602284
          92      229538       45057      199489      621342
          93      224146       41486      189295      640499
          94      218810       38599      178659      659358
          95      213083       37239      167416      677688
          96      207074       36755      156132      695465
          97      200527       37431      145128      712340
          98      193671       38663      134551      728541
          99      186495       40375      124125      744431
         100      179281       42261      114503      759381
         101      171726       44259      105873      773568
         102      164324       45708       98460      786934
         103      157035       46809       92340      799242
         104      149693       47385       87754      810594
         105      142467       47507       84582      820870
         106      135505       47319       82715      829887
         107      129113       46346       82069      837898
         108      123347       44616       82383      845080
         109      118453       42247       83182      851544
