#time susceptible exposed infected recover
           1     1095425           1           0           0
           2     1095425           1           0           0
           3     1095425           1           0           0
           4     1095425           1           0           0
           5     1095425           0           1           0
           6     1095423           2           1           0
           7     1095423           2           1           0
           8     1095423           2           1           0
           9     1095422           3           1           0
          10     1095422           2           2           0
          11     1095420           3           3           0
          12     1095419           4           3           0
          13     1095416           6           4           0
          14     1095413           9           4           0
          15     1095410          11           5           0
          16     1095404          15           7           0
          17     1095398          19           9           0
          18     1095394          21          11           0
          19     1095385          28          13           0
          20     1095373          35          18           0
          21     1095354          46          26           0
          22     1095334          63          29           0
          23     1095302          89          35           0
          24     1095273         104          48           1
          25     1095228         133          64           1
          26     1095177         165          83           1
          27     1095119         198         108           1
          28     1095031         258         136           1
          29     1094906         343         176           1
          30     1094766         433         224           3
          31     1094577         574         272           3
          32     1094368         708         347           3
          33     1094098         866         459           3
          34     1093721        1110         591           4
          35     1093267        1394         759           6
          36     1092656        1823         938           9
          37     1091945        2284        1185          12
          38     1091029        2868        1515          14
          39     1089874        3630        1902          20
          40     1088307        4629        2465          25
          41     1086483        5815        3098          30
          42     1084092        7411        3884          39
          43     1081035        9390        4954          47
          44     1077179       11913        6268          66
          45     1072382       15028        7932          84
          46     1066532       18740       10049         105
          47     1059239       23298       12751         138
          48     1050055       29032       16162         177
          49     1038557       36233       20415         221
          50     1024673       44832       25650         271
          51     1007719       55272       32092         343
          52      987373       67326       40275         452
          53      963270       81086       50478         592
          54      934962       96733       62980         751
          55      902224      114001       78250         951
          56      865585      131978       96672        1191
          57      825097      150203      118608        1518
          58      781822      167142      144536        1926
          59      737526      180930      174479        2491
          60      693228      190790      208275        3133
          61      650534      194773      246177        3942
          62      610356      193154      286958        4958
          63      573771      185817      329504        6334
          64      540712      174387      372299        8028
          65      510784      161076      413414       10152
          66      483607      146712      452247       12860
          67      458301      133584      487230       16311
          68      435278      121833      517646       20669
          69      413744      111842      543925       25915
          70      393615      103371      565919       32521
          71      374661       96019      583963       40783
          72      356703       89853      597748       51122
          73      340001       84203      607339       63883
          74      324369       79119      612734       79204
          75      309928       74208      613360       97930
          76      296736       68685      609966      120039
          77      284627       63588      600916      146295
          78      273410       58785      586258      176973
          79      263707       53404      566768      211547
          80      254913       48430      541900      250183
          81      247097       43497      512884      291948
          82      240304       38568      480817      335737
          83      234092       34459      446730      380145
          84      228374       30920      412635      423497
          85      222577       28385      379414      465050
          86      216494       27299      347952      503681
          87      210153       27141      319959      538173
          88      203322       28047      294110      569947
          89      195920       29577      271473      598456
          90      188263       31251      251234      624678
          91      180427       32863      233223      648913
          92      172673       34009      217570      671174
          93      164816       34778      203972      691860
          94      157200       34812      191949      711465
          95      149826       34540      181128      729932
          96      142875       33729      171627      747195
          97      136105       32700      163400      763221
          98      129875       31121      156132      778298
          99      124160       29353      149714      792199
         100      119260       27027      144381      804758
         101      115226       24304      139398      816498
         102      112028       21007      135473      826918
         103      109819       17114      132355      836138
         104      108145       13498      129273      844510
         105      107047       10136      126578      851665
         106      106379        7240      123639      858168
         107      105970        4950      120380      864126
         108      105773        3233      116434      869986
         109      105657        1935      111930      875904
