 #time susceptible exposed infected recover
           1     1095425           1           0           0
           2     1095425           1           0           0
           3     1095425           1           0           0
           4     1095425           1           0           0
           5     1095425           1           0           0
           6     1095425           1           0           0
           7     1095425           0           1           0
           8     1095425           0           1           0
           9     1095424           1           1           0
          10     1095424           1           1           0
          11     1095422           3           1           0
          12     1095421           4           1           0
          13     1095421           4           1           0
          14     1095420           5           1           0
          15     1095418           6           2           0
          16     1095417           7           2           0
          17     1095415           8           3           0
          18     1095412           9           5           0
          19     1095406          15           5           0
          20     1095401          19           6           0
          21     1095395          23           8           0
          22     1095393          25           8           0
          23     1095385          32           9           0
          24     1095377          37          12           0
          25     1095369          40          16           1
          26     1095354          48          23           1
          27     1095339          60          26           1
          28     1095324          69          32           1
          29     1095308          82          35           1
          30     1095291          91          43           1
          31     1095255         119          51           1
          32     1095229         138          58           1
          33     1095191         155          79           1
          34     1095138         197          89           2
          35     1095085         228         110           3
          36     1095003         295         124           4
          37     1094937         339         145           5
          38     1094853         391         176           6
          39     1094721         490         209           6
          40     1094569         594         255           8
          41     1094396         715         306           9
          42     1094190         855         369          12
          43     1093929        1051         428          18
          44     1093658        1240         507          21
          45     1093321        1461         615          29
          46     1092875        1775         744          32
          47     1092406        2074         908          38
          48     1091779        2525        1076          46
          49     1091088        2974        1312          52
          50     1090197        3598        1567          64
          51     1089182        4309        1855          80
          52     1087990        5129        2212          95
          53     1086535        6110        2668         113
          54     1084858        7241        3201         126
          55     1082842        8601        3828         155
          56     1080466       10189        4585         186
          57     1077555       12147        5506         218
          58     1074035       14590        6533         268
          59     1070002       17227        7889         308
          60     1065191       20486        9369         380
          61     1059626       24247       11109         444
          62     1052962       28727       13206         531
          63     1045177       33812       15795         642
          64     1036039       39801       18805         781
          65     1025428       46566       22493         939
          66     1012888       54721       26700        1117
          67      998765       63702       31578        1381
          68      982524       73880       37392        1630
          69      963829       85328       44329        1940
          70      943083       97638       52385        2320
          71      919948      110849       61863        2766
          72      894555      124601       72943        3327
          73      866972      138859       85624        3971
          74      838228      152428       99991        4779
          75      807795      165373      116521        5737
          76      776307      177179      135095        6845
          77      744594      187023      155652        8157
          78      713561      193784      178352        9729
          79      683380      197571      202929       11546
          80      654593      198104      228998       13731
          81      627872      195149      256015       16390
          82      602971      189214      283660       19581
          83      580283      179959      311832       23352
          84      559063      170157      338422       27784
          85      539315      159137      363969       33005
          86      520784      148375      387115       39152
          87      502861      138319      407926       46320
          88      485603      129876      425205       54742
          89      468723      122947      439115       64641
          90      451947      117525      449655       76299
          91      435473      113477      456871       89605
          92      419327      110472      460788      104839
          93      403467      108043      461678      122238
          94      388151      105645      459703      141927
          95      373334      103555      454709      163828
          96      358813      101233      447136      188244
          97      345197       98259      437536      214434
          98      332021       95135      425542      242728
          99      319528       91590      411847      272461
         100      308045       87582      396515      303284
         101      297123       83448      379756      335099
         102      286654       79143      363302      366327
         103      276972       75038      346357      397059
         104      267654       70901      330352      426519
         105      258896       66714      315542      454274
         106      250428       63317      301431      480250
         107      242462       60137      288979      503848
         108      234817       57060      277632      525917
         109      227466       54341      267190      546429
         110      220287       51933      257700      565506
