 #time susceptible infected recover
         109      105496       81378      949241
         110      105496       66056      956902
         111      105496       51316      964272
         112      105496       38412      970724
         113      105496       27764      976048
         114      105496       19334      980263
         115      105496       12978      983441
         116      105496        8232      985814
         117      105496        4734      987563
         118      105496        2530      988665
         119      105496        1202      989329
         120      105496         532      989664
         121      105496         196      989832
         122      105496          66      989897
         123      105496          20      989920
         124      105496           6      989927
         125      105496           2      989929
         126      105496           0      989930
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095424           4           0
           8     1095423           6           0
           9     1095421          10           0
          10     1095419          14           0
          11     1095419          14           0
          12     1095416          20           0
          13     1095412          28           0
          14     1095410          32           0
          15     1095402          48           0
          16     1095389          74           0
          17     1095371         110           0
          18     1095353         146           0
          19     1095339         174           0
          20     1095318         216           0
          21     1095291         270           0
          22     1095247         358           0
          23     1095161         530           0
          24     1095064         724           0
          25     1094940         972           0
          26     1094789        1272           1
          27     1094582        1686           1
          28     1094358        2134           1
          29     1094035        2780           1
          30     1093554        3742           1
          31     1092923        5004           1
          32     1092036        6778           1
          33     1090818        9212           2
          34     1089256       12332           4
          35     1087375       16088           7
          36     1084921       20996           7
          37     1081595       27648           7
          38     1077117       36592          13
          39     1071101       48620          15
          40     1062871       65072          19
          41     1052583       85630          28
          42     1039187      112382          48
          43     1022357      146014          62
          44     1001276      188134          83
          45      974621      241418          96
          46      941755      307108         117
          47      902578      385376         160
          48      857291      475826         222
          49      807356      575516         312
          50      755165      679680         421
          51      703792      782150         559
          52      655215      878938         742
          53      611882      965174         957
          54      574314     1039770        1227
          55      541449     1104682        1636
          56      511870     1162772        2170
          57      484067     1216810        2954
          58      456992     1268942        3963
          59      430816     1318430        5395
          60      405435     1365814        7084
          61      381595     1409122        9270
          62      359369     1447776       12169
          63      339914     1478962       16031
          64      323319     1501622       21296
          65      308925     1516084       28459
          66      295804     1523904       37670
          67      284462     1522958       49485
          68      274034     1513450       64667
          69      264816     1494034       83593
          70      256921     1462126      107442
          71      250312     1415968      137130
          72      244942     1354382      173293
          73      240579     1279156      215269
          74      236663     1191640      262943
          75      232917     1096330      314344
          76      228659     1001500      366017
          77      223604      912612      415516
          78      217801      832138      461556
          79      211208      764320      502058
          80      204047      708458      537150
          81      196484      661352      568266
          82      188607      619686      596976
          83      180699      580794      624330
          84      172816      543054      651083
          85      164821      507640      676785
          86      156829      474334      701430
          87      148551      444364      724693
          88      140392      419366      745351
          89      132386      398758      763661
          90      125084      382026      779329
          91      118849      366834      793160
          92      113940      352340      805316
          93      110335      337524      816329
          94      108004      322872      825986
          95      106746      308168      834596
          96      106048      294972      841892
          97      105724      283770      847817
          98      105582      274408      852640
          99      105527      266214      856792
         100      105504      258646      860599
         101      105498      250584      864636
         102      105496      241226      869317
