 #time susceptible exposed infected recover
           1     1095425           1           0           0
           2     1095425           1           0           0
           3     1095425           1           0           0
           4     1095425           1           0           0
           5     1095425           1           0           0
           6     1095424           1           1           0
           7     1095424           1           1           0
           8     1095423           2           1           0
           9     1095419           6           1           0
          10     1095417           8           1           0
          11     1095414          11           1           0
          12     1095413          11           2           0
          13     1095413          11           2           0
          14     1095409          11           6           0
          15     1095402          16           8           0
          16     1095382          33          11           0
          17     1095374          39          13           0
          18     1095360          53          13           0
          19     1095343          68          14           1
          20     1095325          80          20           1
          21     1095294          98          33           1
          22     1095247         132          46           1
          23     1095177         187          61           1
          24     1095079         270          76           1
          25     1094980         357          87           2
          26     1094845         462         116           3
          27     1094708         572         141           5
          28     1094481         741         195           9
          29     1094204         926         285          11
          30     1093800        1229         384          13
          31     1093227        1684         502          13
          32     1092536        2239         636          15
          33     1091689        2903         812          22
          34     1090600        3742        1047          37
          35     1089111        4919        1346          50
          36     1087227        6278        1862          59
          37     1084826        8064        2467          69
          38     1081489       10631        3217          89
          39     1077180       13946        4184         116
          40     1071843       18002        5428         153
          41     1064814       23339        7058         215
          42     1056026       30005        9091         304
          43     1044728       38444       11849         405
          44     1030485       48845       15580         516
          45     1012390       62097       20294         645
          46      990006       78328       26260         832
          47      963156       97326       33868        1076
          48      931482      118831       43691        1422
          49      895005      142560       55940        1921
          50      853797      167622       71450        2557
          51      809549      191719       90852        3306
          52      763780      212818      114512        4316
          53      718565      228784      142502        5575
          54      676638      236489      175068        7231
          55      638704      235591      211774        9357
          56      605697      225865      251583       12281
          57      576745      210040      292573       16068
          58      550522      190731      333266       20907
          59      525876      171759      370609       27182
          60      502489      155223      402740       34974
          61      479810      142286      428428       44902
          62      457699      133524      446596       57607
          63      435303      128351      457794       73978
          64      412982      125119      463148       94177
          65      390629      123323      462676      118798
          66      367717      123904      455921      147884
          67      346247      122853      444563      181763
          68      326159      120627      427716      220924
          69      308209      116310      407496      263411
          70      292406      109790      384900      308330
          71      279009      100189      362297      353931
          72      267810       89094      340946      397576
          73      258554       77581      321947      437344
          74      250795       66413      305537      472681
          75      243811       56558      291383      503674
          76      237810       47895      278571      531150
          77      232275       41099      265379      556673
          78      226674       36579      251337      580836
          79      220856       33947      236822      603801
          80      214458       32801      221818      626349
          81      207555       33230      206118      648523
          82      200212       34828      189418      670968
          83      192347       37124      172713      693242
          84      184345       39441      155338      716302
          85      176079       41532      139556      738259
          86      167785       43217      125250      759174
          87      159385       44473      113244      778324
          88      150952       45288      104072      795114
          89      142489       45852       97411      809674
          90      134410       45820       93179      822017
          91      127016       44855       91315      832240
          92      120664       42899       91098      840765
          93      115627       39582       92041      848176
          94      111778       34842       94205      854601
          95      109231       29158       96683      860354
          96      107577       23042       98926      865881
          97      106636       17044      100082      871664
          98      106108       11978       99548      877792
          99      105807        7852       97341      884426
         100      105632        4862       93281      891651
         101      105553        2878       87770      899225
         102      105524        1576       81177      907149
         103      105512         866       73755      915293
         104      105504         457       65915      923550
         105      105502         217       57905      931802
         106      105500          96       49502      940328
         107      105497          48       41163      948718
         108      105497          20       32872      957037
         109      105497          10       25160      964759
