 #time susceptible exposed infected recover
           1     1095425           1           0           0
           2     1095425           1           0           0
           3     1095425           1           0           0
           4     1095425           1           0           0
           5     1095425           1           0           0
           6     1095424           1           1           0
           7     1095424           1           1           0
           8     1095423           2           1           0
           9     1095419           6           1           0
          10     1095417           8           1           0
          11     1095414          11           1           0
          12     1095413          11           2           0
          13     1095412          12           2           0
          14     1095406          14           6           0
          15     1095397          21           8           0
          16     1095373          42          11           0
          17     1095364          49          13           0
          18     1095343          69          14           0
          19     1095317          91          18           0
          20     1095285         116          25           0
          21     1095223         161          42           0
          22     1095150         219          57           0
          23     1095049         301          75           1
          24     1094908         421          96           1
          25     1094756         550         119           1
          26     1094529         728         168           1
          27     1094224         974         227           1
          28     1093767        1346         312           1
          29     1093154        1823         447           2
          30     1092324        2518         581           3
          31     1091242        3404         773           7
          32     1089815        4574        1028           9
          33     1087932        6068        1415          11
          34     1085312        8168        1933          13
          35     1081811       10964        2637          14
          36     1076890       14920        3598          18
          37     1070590       19955        4853          28
          38     1061839       27032        6509          46
          39     1050536       36098        8732          60
          40     1036163       47407       11784          72
          41     1017334       61995       16005          92
          42      993279       80500       21524         123
          43      963528      102651       29078         169
          44      926591      129628       38969         238
          45      883460      159865       51771         330
          46      834996      191832       68152         446
          47      783241      222084       89515         586
          48      731780      246716      116151         779
          49      683222      261937      149207        1060
          50      640575      264549      188863        1439
          51      603509      255838      234138        1941
          52      571299      237863      283585        2679
          53      542498      214855      334423        3650
          54      514965      192366      383199        4896
          55      488459      173205      427252        6510
          56      462382      159650      464608        8786
          57      437034      150340      496172       11880
          58      412565      144316      522439       16106
          59      389571      138950      545203       21702
          60      367728      133809      564632       29257
          61      347716      127434      581081       39195
          62      329339      119967      594261       51859
          63      312811      111853      602246       68516
          64      297535      103368      604399       90124
          65      283932       94619      599844      117031
          66      271651       86162      587601      150012
          67      261580       77020      566580      190246
          68      253444       67646      538213      236123
          69      247123       57887      504232      286184
          70      241946       48573      467150      337757
          71      237298       40503      430057      387568
          72      232350       34272      395623      433181
          73      226832       30614      365214      472766
          74      220810       29477      337766      507373
          75      214065       30481      313156      537724
          76      206410       33272      289576      566168
          77      198467       36345      267688      592926
          78      190131       39407      246461      619427
          79      181834       42043      226437      645112
          80      173376       44048      207895      670107
          81      164908       45266      191149      694103
          82      156251       46201      176491      716483
          83      147401       46842      163726      737457
          84      138381       47547      152518      756980
          85      129794       47745      143554      774333
          86      122343       46761      135801      790521
          87      116360       44052      130093      804921
          88      111950       39649      126140      817687
          89      109099       33625      123884      828818
          90      107281       26624      123596      837925
          91      106327       19544      124430      845125
          92      105843       13457      125251      850875
          93      105630        8526      125521      855749
          94      105543        5024      124292      860567
          95      105508        2663      121422      865833
          96      105502        1306      117048      871570
          97      105498         609      111376      877943
          98      105496         266      104432      885232
          99      105496          93       96872      892965
         100      105496          28       88726      901176
         101      105496          12       80426      909492
         102      105496           5       72128      917797
         103      105496           3       63623      926304
         104      105496           0       54922      935008
         105      105496           0       46118      943812
         106      105496           0       37232      952698
         107      105496           0       28424      961506
         108      105496           0       20399      969531
         109      105496           0       13826      976104
         110      105496           0        8621      981309
